year,exchange_rate,gdp_growth,food_index
1980,7.420187499,5.5919762059677,28.54
1981,9.04749833258333,3.77354419402822,28.65
1982,10.9223249994167,1.50647825757706,31.93
1983,13.3115166659167,1.3090502411486,32.82
1984,14.4138749994167,1.75521697703473,30.5
1985,16.4321166665,4.30056181879613,34.44
1986,16.2257416665,7.17755539065963,37.85
1987,16.4544916666667,5.93710744420895,37.93
1988,17.7471,6.20318382314591,41.33
1989,20.5724666666667,4.69034876792047,43.1
1990,22.9147666666667,4.19205097155167,42.71
1991,27.5078666666667,1.43834679171559,53.64
1992,32.2168333333333,-0.799493958641349,54.09
1993,58.0013333333333,0.353197256227247,53.68
1994,56.050575,2.632784517837,54.88
1995,51.4298333333333,4.40621652482287,57.13
1996,57.1148666666667,4.14683926876013,55.29
1997,58.7318416666667,0.474901921293579,54.56
1998,60.3667,3.29021372249065,60.8
1999,70.3262166666667,2.30538859522412,62.02
2000,76.1755416666667,0.599695390807426,58.55
2001,78.563195,3.77990649795343,66.11
2002,78.7491416666667,0.546859530175595,67.9
2003,75.9355694444445,2.93247554570904,69.79
2004,79.1738760642135,5.10429977629738,72.96
2005,75.5541094514311,5.90666607980057,81.11
2006,72.1008350178622,6.47249430015484,82.95
2007,67.3176381242857,6.85072976998784,87.81
2008,69.175319816226,0.232282744812977,88.32
2009,77.352012297579,3.30693981631089,89.82
2010,79.2331517045454,8.05847360290906,98.14
2011,88.8107699710456,5.1211061197056,93.55
2012,84.5296017573529,4.56867961444982,96.4
2013,86.1228788982654,3.7978483925754,101.73
2014,87.9221638089727,5.02011100232484,102.26
2015,98.1784533265271,4.96772112759767,102.07
2016,101.504369498594,4.21351706814744,95.67
2017,103.410004519014,3.83795817364721,90.64
2018,101.301574049018,5.64794640709219,100.31
2019,101.99129838935,5.11415885767801,107.28
2020,106.450780158517,-0.272766327438816,125.82
2021,109.637746592367,7.59048947333467,123.29
2022,117.865989201682,4.85998104287999,112.38
2023,139.846383759617,5.71999241214208,
2024,134.822483279332,4.72473994710138,
